Transaction_ID,Customer_ID,Amount,Transaction_Type,Timestamp,Fraud_Flag,Fraud_Score,Fraud_Predicted,Anomaly_Score,IF_Fraud
1,57,35200,Withdrawal,2025-09-03 10:47:51.200706,0,0.35117173,0,0.4564461299972817,0
2,16,25871,Transfer,2025-12-31 10:47:51.200738,0,0.017118476,0,0.46070912038484074,0
3,56,26710,Withdrawal,2025-09-12 10:47:51.200752,0,0.060555156,0,0.45332938772802406,0
4,10,5134,Withdrawal,2025-03-29 10:47:51.200763,0,0.028826172,0,0.5569498045948852,0
5,30,16711,Transfer,2025-06-08 10:47:51.200773,0,0.04901169,0,0.5115406456125533,0
6,25,13557,Payment,2025-11-11 10:47:51.200783,0,0.16012599,0,0.4997977490981737,0
7,84,7109,Payment,2025-03-04 10:47:51.200792,0,0.02080786,0,0.5042586478299584,0
8,5,18321,Payment,2025-02-15 10:47:51.200802,0,0.08596747,0,0.5085016871449696,0
9,65,45589,Transfer,2025-03-30 10:47:51.200811,0,0.060962602,0,0.562892923799694,0
10,94,7541,Withdrawal,2025-04-12 10:47:51.200820,0,0.028826172,0,0.5555635688203008,0
11,49,47345,Transfer,2026-01-25 10:47:51.200829,0,0.060962602,0,0.5975262647530366,0
12,3,14909,Transfer,2025-09-01 10:47:51.200839,0,0.04901169,0,0.49361940655108033,0
13,45,8123,Withdrawal,2025-04-14 10:47:51.200848,0,0.028826172,0,0.48866451849981407,0
14,14,9127,Payment,2025-09-06 10:47:51.200857,0,0.02080786,0,0.5595169701105245,0
15,30,21003,Payment,2025-12-04 10:47:51.200866,0,0.79215926,1,0.4625097171826961,0
16,68,11433,Transfer,2025-03-28 10:47:51.200875,0,0.014618012,0,0.4882515076192945,0
17,18,49196,Payment,2025-11-18 10:47:51.200885,0,0.024137525,0,0.5398112401479718,0
18,62,2403,Transfer,2025-01-30 10:47:51.200894,0,0.014618012,0,0.5714724103496533,0
19,37,23871,Transfer,2025-10-28 10:47:51.200903,0,0.017118476,0,0.46830487383442854,0
20,25,37617,Withdrawal,2025-06-20 10:47:51.200911,0,0.07969319,0,0.4738703943011511,0
21,48,49888,Withdrawal,2025-07-18 10:47:51.200920,0,0.024137525,0,0.6449603606486874,1
22,65,24910,Withdrawal,2025-11-24 10:47:51.200929,0,0.060555156,0,0.4634223870566051,0
23,53,21245,Transfer,2025-11-14 10:47:51.200938,0,0.4459802,0,0.4574281294660199,0
24,79,11989,Withdrawal,2025-08-18 10:47:51.200947,0,0.21030034,0,0.4658582818140771,0
25,73,25388,Payment,2025-08-10 10:47:51.200956,0,0.069732755,0,0.5102384255057324,0
26,15,21780,Payment,2025-10-29 10:47:51.200965,1,0.9033179,1,0.45564093874072875,0
27,49,21477,Transfer,2025-08-03 10:47:51.200974,0,0.571475,1,0.5504547952073078,0
28,88,35246,Transfer,2025-05-02 10:47:51.200983,0,0.09671454,0,0.4710918324586445,0
29,68,27133,Withdrawal,2025-11-14 10:47:51.200991,0,0.060555156,0,0.45659428125552487,0
30,12,21560,Transfer,2025-05-26 10:47:51.201000,0,0.4459802,0,0.4551052977397176,0
31,59,44114,Transfer,2025-11-10 10:47:51.201009,1,0.9148826,1,0.5182551230537497,0
32,37,7863,Payment,2025-08-20 10:47:51.201018,0,0.02080786,0,0.50143118729573,0
33,61,31648,Payment,2025-03-08 10:47:51.201026,0,0.069732755,0,0.5390338102499002,0
34,43,47232,Withdrawal,2025-10-20 10:47:51.201035,0,0.024137525,0,0.574880714654927,0
35,70,27620,Transfer,2025-10-16 10:47:51.201045,0,0.017118476,0,0.4502892686801518,0
36,39,27132,Transfer,2025-09-16 10:47:51.201053,0,0.017118476,0,0.45327289599611553,0
37,56,29291,Payment,2025-10-16 10:47:51.201062,0,0.056282274,0,0.4640275796536173,0
38,63,30728,Transfer,2026-01-07 10:47:51.201071,0,0.017118476,0,0.46446050057076094,0
39,46,44619,Payment,2025-11-05 10:47:51.201079,0,0.024137525,0,0.5502356962698345,0
40,88,11795,Withdrawal,2025-04-22 10:47:51.201088,1,0.95314586,1,0.4638898067051941,0
41,11,26079,Payment,2025-02-21 10:47:51.201097,0,0.056282274,0,0.44510701458630886,0
42,62,13075,Transfer,2025-01-26 10:47:51.201107,0,0.094589904,0,0.538854147991485,0
43,77,36174,Withdrawal,2025-03-01 10:47:51.201115,0,0.09213733,0,0.5230748119837003,0
44,98,14338,Payment,2025-09-19 10:47:51.201124,1,0.9128604,1,0.49453085524451923,0
45,25,23700,Payment,2025-02-16 10:47:51.201133,0,0.069732755,0,0.5242538282399424,0
46,71,6590,Withdrawal,2025-03-22 10:47:51.201142,0,0.028826172,0,0.5482157072555255,0
47,52,32282,Withdrawal,2025-10-29 10:47:51.201151,0,0.060555156,0,0.47391055611349353,0
48,4,16472,Payment,2025-06-27 10:47:51.201160,0,0.08596747,0,0.47105415419595287,0
49,59,3392,Transfer,2025-09-05 10:47:51.201169,0,0.014618012,0,0.531462151010385,0
50,72,41896,Payment,2025-11-22 10:47:51.201178,0,0.09815656,0,0.5628882463204063,0
51,20,35662,Withdrawal,2025-11-11 10:47:51.201186,0,0.07969319,0,0.4615063792335245,0
52,93,10446,Payment,2025-07-11 10:47:51.201195,0,0.02080786,0,0.5044556806128185,0
53,63,17532,Withdrawal,2025-09-05 10:47:51.201204,0,0.11611744,0,0.4811776171422418,0
54,54,23461,Withdrawal,2025-03-16 10:47:51.201213,0,0.07023896,0,0.5461546685200654,0
55,74,46816,Transfer,2025-10-25 10:47:51.201222,0,0.060962602,0,0.6267118998891883,1
56,98,13311,Withdrawal,2025-03-27 10:47:51.201231,0,0.21030034,0,0.4690534961859724,0
57,57,3143,Withdrawal,2025-06-16 10:47:51.201240,0,0.028826172,0,0.5542533393164192,0
58,90,11772,Transfer,2025-04-10 10:47:51.201248,0,0.014618012,0,0.4883906663117631,0
59,41,22092,Withdrawal,2025-10-16 10:47:51.201258,0,0.060555156,0,0.47669487520373227,0
60,3,44463,Transfer,2025-05-04 10:47:51.201267,0,0.060962602,0,0.5419502092316119,0
61,6,47901,Transfer,2025-02-05 10:47:51.201275,0,0.052485522,0,0.6244419440470322,1
62,5,28137,Withdrawal,2025-10-08 10:47:51.201284,0,0.060555156,0,0.46157289573047233,0
63,5,32397,Withdrawal,2025-03-02 10:47:51.201293,0,0.07023896,0,0.5270295759343991,0
64,54,33806,Payment,2025-05-06 10:47:51.201302,0,0.33367595,0,0.4887203897572534,0
65,47,39264,Transfer,2026-01-23 10:47:51.201311,0,0.059953023,0,0.4799013767403033,0
66,87,16385,Payment,2025-11-02 10:47:51.201320,0,0.08596747,0,0.5416019256947511,0
67,49,28652,Withdrawal,2025-04-19 10:47:51.201329,0,0.07023896,0,0.5422943570875334,0
68,9,48951,Payment,2025-03-04 10:47:51.201338,0,0.024137525,0,0.5641400850273484,0
69,99,34500,Transfer,2025-03-28 10:47:51.201347,0,0.09671454,0,0.46404550965642727,0
70,20,32246,Payment,2025-10-01 10:47:51.201355,0,0.056282274,0,0.4837050406172548,0
71,61,5676,Transfer,2025-06-19 10:47:51.201364,0,0.014618012,0,0.5307514146102272,0
72,35,7474,Withdrawal,2025-08-25 10:47:51.201373,0,0.028826172,0,0.5022532752012232,0
73,50,12907,Withdrawal,2025-08-26 10:47:51.201381,0,0.21030034,0,0.47165209147749154,0
74,82,44973,Transfer,2026-01-14 10:47:51.201390,0,0.052485522,0,0.5318048259330223,0
75,62,20032,Withdrawal,2025-09-15 10:47:51.201406,0,0.11611744,0,0.48695423990542575,0
76,17,11475,Withdrawal,2025-03-28 10:47:51.201414,0,0.028826172,0,0.4665115364390425,0
77,88,2030,Withdrawal,2025-04-08 10:47:51.201423,0,0.028826172,0,0.5789284085055476,0
78,3,48340,Withdrawal,2025-04-01 10:47:51.201434,0,0.024137525,0,0.5758672271708277,0
79,32,26481,Transfer,2025-06-12 10:47:51.201442,0,0.017118476,0,0.4593155834154344,0
80,99,19490,Payment,2025-04-30 10:47:51.201452,0,0.08596747,0,0.46415786053580504,0
81,13,41802,Payment,2025-12-14 10:47:51.201460,0,0.09815656,0,0.5592114567592121,0
82,89,17225,Withdrawal,2025-02-17 10:47:51.201469,0,0.11611744,0,0.48008135940418906,0
83,73,48701,Payment,2025-03-06 10:47:51.201478,0,0.024137525,0,0.5790918995905765,0
84,68,26435,Payment,2025-03-30 10:47:51.201488,0,0.069732755,0,0.5078908060427328,0
85,14,38208,Withdrawal,2025-01-27 10:47:51.201521,0,0.07969319,0,0.47771378645077534,0
86,98,23069,Withdrawal,2026-01-05 10:47:51.201531,0,0.060555156,0,0.45978740902945436,0
87,11,18689,Payment,2025-10-11 10:47:51.201540,0,0.08596747,0,0.5125346053795677,0
88,56,20044,Transfer,2025-02-24 10:47:51.201549,1,0.91532326,1,0.47139097894167165,0
89,67,34425,Withdrawal,2025-03-29 10:47:51.201557,0,0.38812917,0,0.5073799989329548,0
90,92,21613,Transfer,2025-10-01 10:47:51.201566,0,0.4459802,0,0.4547896910611564,0
91,29,39391,Payment,2025-09-24 10:47:51.201575,0,0.07969319,0,0.49941599277102966,0
92,9,5826,Withdrawal,2025-04-20 10:47:51.201584,0,0.028826172,0,0.5493813905430719,0
93,67,36494,Transfer,2025-04-09 10:47:51.201593,0,0.059953023,0,0.47166167829094024,0
94,25,3430,Withdrawal,2025-07-07 10:47:51.201602,0,0.028826172,0,0.5576314018646674,0
95,98,8761,Payment,2025-12-06 10:47:51.201611,0,0.02080786,0,0.5559676914715926,0
96,76,8832,Transfer,2025-04-30 10:47:51.201620,0,0.014618012,0,0.49257258765448,0
97,42,17484,Payment,2025-03-08 10:47:51.201629,0,0.08596747,0,0.5179610267718718,0
98,9,46815,Payment,2025-04-24 10:47:51.201638,0,0.024137525,0,0.6067908214612735,0
99,79,20067,Withdrawal,2025-09-07 10:47:51.201647,1,0.9676427,1,0.5493146738523,0
100,40,30757,Transfer,2025-04-26 10:47:51.201656,0,0.020003924,0,0.5421821839463369,0
101,25,39160,Payment,2025-04-11 10:47:51.201664,0,0.07969319,0,0.4955403676761419,0
102,5,17393,Payment,2025-02-26 10:47:51.201674,0,0.08596747,0,0.46704142787008923,0
103,11,38877,Transfer,2025-12-05 10:47:51.201682,0,0.059953023,0,0.4863853988794183,0
104,59,41702,Payment,2025-12-30 10:47:51.201691,0,0.07969319,0,0.5038936962372239,0
105,98,5705,Payment,2025-08-22 10:47:51.201700,0,0.02080786,0,0.5292633693846753,0
106,88,44909,Transfer,2025-06-01 10:47:51.201709,0,0.060962602,0,0.5381436843025865,0
107,79,15301,Transfer,2025-08-23 10:47:51.201718,0,0.04901169,0,0.526150970016741,0
108,38,576,Transfer,2025-04-10 10:47:51.201726,0,0.014618012,0,0.6312097498521841,1
109,72,3274,Transfer,2025-09-12 10:47:51.201735,0,0.014618012,0,0.5336912601694471,0
110,5,47887,Withdrawal,2025-09-04 10:47:51.201745,0,0.024137525,0,0.570980238746582,0
111,48,11586,Transfer,2025-10-12 10:47:51.201753,0,0.014618012,0,0.565845646317596,0
112,90,28591,Withdrawal,2025-08-21 10:47:51.201762,0,0.060555156,0,0.46125586786514644,0
113,18,13597,Withdrawal,2025-09-02 10:47:51.201771,0,0.21030034,0,0.4705150596070685,0
114,70,34581,Withdrawal,2026-01-24 10:47:51.201780,0,0.38812917,0,0.5074441543969062,0
115,37,8762,Payment,2025-11-10 10:47:51.201789,0,0.02080786,0,0.4804914885257832,0
116,60,38615,Withdrawal,2025-09-16 10:47:51.201798,0,0.07969319,0,0.4805613919868468,0
117,48,9258,Withdrawal,2025-10-28 10:47:51.201806,0,0.028826172,0,0.4804421868989497,0
118,77,5159,Payment,2025-02-15 10:47:51.201815,0,0.02080786,0,0.5972647363597986,0
119,28,49318,Payment,2025-02-10 10:47:51.201824,0,0.024137525,0,0.5885278211534236,0
120,69,35251,Payment,2025-05-08 10:47:51.201833,0,0.33367595,0,0.4976337963583751,0
121,77,17017,Transfer,2025-02-09 10:47:51.201842,0,0.04901169,0,0.5101565072983009,0
122,81,29809,Payment,2025-10-10 10:47:51.201851,0,0.056282274,0,0.4752449088429716,0
123,40,20222,Payment,2025-11-13 10:47:51.201860,0,0.79215926,1,0.4686937252286343,0
124,45,36985,Withdrawal,2025-12-18 10:47:51.201868,0,0.07969319,0,0.4706234042780605,0
125,96,26639,Payment,2025-08-20 10:47:51.201877,0,0.056282274,0,0.45085907297699435,0
126,62,30065,Transfer,2025-11-16 10:47:51.201886,0,0.020003924,0,0.5293057895519198,0
127,93,29059,Payment,2025-03-20 10:47:51.201894,0,0.056282274,0,0.46662894914030145,0
128,58,17823,Transfer,2025-05-30 10:47:51.201904,0,0.04901169,0,0.4820169122568065,0
129,67,41175,Payment,2025-04-03 10:47:51.201912,0,0.07969319,0,0.5115236718703017,0
130,56,26193,Payment,2025-12-21 10:47:51.201922,0,0.069732755,0,0.5032376374101633,0
131,40,6204,Payment,2025-11-03 10:47:51.201931,0,0.02080786,0,0.5068009116568917,0
132,98,21854,Payment,2025-05-08 10:47:51.201940,0,0.056282274,0,0.45523378175680856,0
133,40,41738,Transfer,2025-03-22 10:47:51.201948,0,0.06954767,0,0.5738616364661033,0
134,91,20631,Transfer,2025-08-07 10:47:51.201957,0,0.4459802,0,0.4630753062896773,0
135,77,30137,Withdrawal,2025-08-06 10:47:51.201966,0,0.060555156,0,0.4711883205927328,0
136,33,49980,Transfer,2025-01-29 10:47:51.201975,0,0.052485522,0,0.6279905436703145,1
137,6,33031,Payment,2025-12-10 10:47:51.201984,0,0.056282274,0,0.47751563996246527,0
138,88,3812,Withdrawal,2025-09-07 10:47:51.201993,0,0.028826172,0,0.5847270232761953,0
139,19,46217,Withdrawal,2025-09-30 10:47:51.202001,0,0.024137525,0,0.5745534150184736,0
140,80,9818,Withdrawal,2025-04-24 10:47:51.202010,0,0.028826172,0,0.47608380490719304,0
141,40,43458,Payment,2025-06-26 10:47:51.202019,0,0.07969319,0,0.5307389350183143,0
142,92,39549,Transfer,2025-06-20 10:47:51.202028,0,0.059953023,0,0.4884850056503384,0
143,97,38609,Payment,2025-12-31 10:47:51.202036,0,0.07969319,0,0.5046264071967888,0
144,59,48640,Withdrawal,2026-01-17 10:47:51.202045,0,0.02817217,0,0.6200755300741769,0
145,59,8833,Payment,2025-04-30 10:47:51.202054,0,0.02080786,0,0.4788794201770502,0
146,48,46439,Payment,2026-01-16 10:47:51.202062,0,0.024137525,0,0.6190993370277079,0
147,41,29831,Transfer,2025-09-27 10:47:51.202083,0,0.020003924,0,0.5337179217044239,0
148,13,30861,Transfer,2025-09-23 10:47:51.202091,0,0.017118476,0,0.4643109276012672,0
149,45,48837,Withdrawal,2025-08-09 10:47:51.202100,0,0.02817217,0,0.628553436489052,1
150,89,35538,Payment,2025-11-15 10:47:51.202109,1,0.88710326,1,0.5565858859631581,0
151,53,8955,Payment,2025-08-27 10:47:51.202118,0,0.02080786,0,0.48167383401270114,0
152,42,9177,Transfer,2025-07-02 10:47:51.202127,0,0.014618012,0,0.48383435394165997,0
153,100,22481,Payment,2025-12-08 10:47:51.202136,0,0.056282274,0,0.4670031524062219,0
154,63,49203,Payment,2025-08-25 10:47:51.202145,0,0.024137525,0,0.5404499426636158,0
155,27,6418,Payment,2025-02-13 10:47:51.202154,0,0.02080786,0,0.501925314692259,0
156,38,27474,Transfer,2025-04-08 10:47:51.202163,0,0.017118476,0,0.45041453744501503,0
157,60,46874,Withdrawal,2025-11-19 10:47:51.202172,0,0.024137525,0,0.5858880692308522,0
158,7,45054,Withdrawal,2025-12-07 10:47:51.202181,0,0.02817217,0,0.573981366514769,0
159,5,18383,Payment,2025-08-27 10:47:51.202190,0,0.08596747,0,0.46531035134521515,0
160,45,23166,Withdrawal,2026-01-07 10:47:51.202199,0,0.060555156,0,0.4584767910071557,0
161,58,47269,Transfer,2025-10-18 10:47:51.202207,0,0.060962602,0,0.5938830130746634,0
162,31,43251,Transfer,2025-11-27 10:47:51.202216,0,0.059953023,0,0.5248815892405004,0
163,23,15575,Withdrawal,2025-08-12 10:47:51.202225,0,0.11611744,0,0.48566584081039244,0
164,42,23448,Withdrawal,2025-07-08 10:47:51.202234,0,0.060555156,0,0.4577140409338998,0
165,10,32907,Payment,2025-02-15 10:47:51.202242,0,0.069732755,0,0.534861883638555,0
166,32,10411,Withdrawal,2025-09-02 10:47:51.202251,0,0.028826172,0,0.4732844482376795,0
167,53,16419,Payment,2025-08-15 10:47:51.202260,0,0.08596747,0,0.4706356566332518,0
168,30,3091,Payment,2025-05-29 10:47:51.202268,0,0.02080786,0,0.6104756555851066,0
169,39,155,Transfer,2025-11-18 10:47:51.202277,0,0.014618012,0,0.6860205755982515,1
170,31,9128,Transfer,2025-08-04 10:47:51.202286,0,0.014618012,0,0.48280366066191355,0
171,82,25053,Transfer,2025-12-08 10:47:51.202295,0,0.017118476,0,0.46467665574333145,0
172,100,6140,Transfer,2025-10-10 10:47:51.202303,0,0.014618012,0,0.5230966345207132,0
173,2,38900,Withdrawal,2025-06-14 10:47:51.202312,0,0.09213733,0,0.543220082484956,0
174,78,49836,Transfer,2025-08-18 10:47:51.202322,0,0.052485522,0,0.6228778294558488,1
175,77,1975,Withdrawal,2025-09-29 10:47:51.202331,0,0.028826172,0,0.5820660138437094,0
176,93,18490,Transfer,2025-08-30 10:47:51.202339,0,0.04901169,0,0.5303921608999997,0
177,12,39735,Withdrawal,2025-08-29 10:47:51.202348,0,0.07969319,0,0.5155129628318005,0
178,39,26065,Payment,2025-04-08 10:47:51.202357,0,0.056282274,0,0.44529806612224226,0
179,66,33370,Withdrawal,2025-09-05 10:47:51.202366,1,0.9120526,1,0.46100531478320966,0
180,96,25341,Withdrawal,2025-08-19 10:47:51.202375,0,0.060555156,0,0.46054853318569483,0
181,13,36729,Transfer,2026-01-15 10:47:51.202384,0,0.059953023,0,0.4704361037941621,0
182,46,26339,Withdrawal,2025-09-10 10:47:51.202399,0,0.060555156,0,0.4574018149129129,0
183,27,3439,Payment,2025-11-09 10:47:51.202408,0,0.02080786,0,0.6212015827087604,0
184,17,25733,Payment,2025-11-10 10:47:51.202416,0,0.056282274,0,0.4506348917043261,0
185,95,13679,Transfer,2025-05-17 10:47:51.202425,0,0.094589904,0,0.5293860031505447,0
186,98,24876,Payment,2025-05-13 10:47:51.202434,0,0.056282274,0,0.46023075276244624,0
187,60,35248,Withdrawal,2025-03-12 10:47:51.202443,0,0.35117173,0,0.45531192407014837,0
188,64,26680,Payment,2025-04-10 10:47:51.202451,0,0.056282274,0,0.45155299105662766,0
189,88,33276,Transfer,2025-05-08 10:47:51.202461,0,0.017118476,0,0.4574165988082818,0
190,35,46213,Withdrawal,2025-11-02 10:47:51.202469,0,0.02817217,0,0.5778840174576486,0
191,70,33025,Transfer,2025-09-02 10:47:51.202478,0,0.017118476,0,0.46179684110224717,0
192,83,949,Withdrawal,2025-03-09 10:47:51.202487,0,0.028826172,0,0.6743932129837726,1
193,30,11703,Payment,2025-12-15 10:47:51.202512,0,0.02080786,0,0.5123558682811208,0
194,71,28011,Transfer,2025-09-23 10:47:51.202521,0,0.017118476,0,0.45744514695303384,0
195,74,16455,Transfer,2025-08-12 10:47:51.202555,0,0.04901169,0,0.48246599484832586,0
196,96,8651,Withdrawal,2025-05-30 10:47:51.202565,0,0.028826172,0,0.4841311655446313,0
197,98,33712,Transfer,2025-04-21 10:47:51.202574,0,0.09671454,0,0.45617762301659226,0
198,63,33332,Withdrawal,2025-07-22 10:47:51.202583,0,0.060555156,0,0.4609432885010849,0
199,28,21338,Withdrawal,2025-03-30 10:47:51.202591,1,0.9048365,1,0.5400084527184384,0
200,60,29595,Withdrawal,2026-01-07 10:47:51.202600,0,0.060555156,0,0.4687935449936032,0
